sid,start_time,end_time,observation_count,lat_first,lat_min,lat_max,lon_first,lon_min,lon_max,basin,nature,storm_speed_mean,storm_dir_mean,season,duration_days,basin_name,storm_type
1854176N26268,1854-06-25 00:00:00,1854-06-27 12:00:00,21,26.0,25.6,28.0,-92.5,-102.5,-92.5,,TS,9.380952380952381,276.1904761904762,1854,2.5,,Tropical Storm
1854207N28267,1854-07-25 12:00:00,1854-07-28 18:00:00,27,27.8,25.5,27.8,-93.5,-100.0,-93.5,,TS,4.851851851851852,247.77777777777777,1854,3.25,,Tropical Storm
1854246N25300,1854-09-02 12:00:00,1854-09-12 18:00:00,84,24.5,24.5,40.2,-59.8,-81.8,-48.0,,TS,12.535714285714286,224.76190476190476,1854,10.25,,Tropical Storm
1854253N14303,1854-09-09 12:00:00,1854-09-15 12:00:00,49,14.0,14.0,20.7,-57.5,-74.8,-57.5,,TS,8.040816326530612,244.3877551020408,1854,6.0,,Tropical Storm
1854253N35280,1854-09-10 06:00:00,1854-09-14 12:00:00,35,35.4,35.4,49.8,-80.0,-80.0,-25.7,,TS,27.742857142857144,72.0,1854,4.25,,Tropical Storm
1854258N13329,1854-09-15 06:00:00,1854-09-25 06:00:00,81,12.7,12.7,49.0,-31.0,-51.5,-31.0,,TS,12.45679012345679,207.03703703703704,1854,10.0,,Tropical Storm
1854259N24266,1854-09-16 06:00:00,1854-09-21 12:00:00,43,24.4,24.4,30.6,-94.3,-96.4,-92.0,,TS,4.837209302325581,191.86046511627907,1854,5.25,,Tropical Storm
1854279N12297,1854-10-05 12:00:00,1854-10-15 18:00:00,83,12.0,12.0,35.0,-62.8,-64.0,-37.6,,TS,8.80722891566265,147.95180722891567,1854,10.25,,Tropical Storm
1854287N18296,1854-10-13 12:00:00,1854-10-27 12:00:00,113,17.5,17.5,49.0,-64.3,-65.8,-38.0,,TS,7.610619469026549,118.27433628318585,1854,14.0,,Tropical Storm
1854293N25292,1854-10-20 00:00:00,1854-10-22 18:00:00,23,25.0,25.0,34.2,-67.6,-67.6,-58.7,,TS,12.304347826086957,31.73913043478261,1854,2.75,,Tropical Storm
1854303N14072,1854-10-30 03:00:00,1854-11-02 03:00:00,25,13.7,13.7,19.5,72.2,70.7,73.2,NI,NR,6.24,210.6,1854,3.0,North Indian,NR
1854305S10073,1854-10-31 18:00:00,1854-11-05 06:00:00,37,-10.4,-22.7,-10.4,73.1,66.3,73.1,SI,NR,7.72972972972973,197.02702702702703,1854,4.5,South Indian,NR
1854309N22294,1854-11-04 12:00:00,1854-11-05 12:00:00,9,22.0,22.0,25.2,-65.8,-65.8,-63.5,,TS,9.88888888888889,33.888888888888886,1854,1.0,,Tropical Storm
1854325S10073,1854-11-21 06:00:00,1854-11-27 06:00:00,49,-10.1,-24.3,-10.1,73.1,66.1,73.1,SI,NR,6.612244897959184,186.9387755102041,1854,6.0,South Indian,NR
1855021S14076,1855-01-21 06:00:00,1855-01-28 06:00:00,57,-14.0,-27.3,-14.0,75.6,72.7,76.3,SI,NR,5.333333333333333,169.03508771929825,1855,7.0,South Indian,NR
