sid,kf_mean_error,kf_std_error,kf_forecast_count,lead_time_hours,null_mean_error,null_std_error,null_forecast_count,basin,nature,start_time,end_time,lat,lon,better_model
1860081S14429,44.27800922775123,40.68352497970972,30,6,48.63224056880138,47.828920177842,30,SI,NR,1860-03-20 18:00:00,1860-03-29 06:00:00,-13.7,68.7,Kalman Filter
1860227N25311,45.639011956426,59.15698301116366,30,6,51.763696308326075,57.32600883434467,30,,TS,1860-08-13 12:00:00,1860-08-17 12:00:00,25.1,-48.8,Kalman Filter
1860237N28283,96.89750312650807,81.11184084368074,30,6,84.27510897912943,83.19318335476055,30,,TS,1860-08-24 00:00:00,1860-08-26 18:00:00,28.2,-77.1,Null Model
1860262N22294,143.13901650225506,157.55588018181555,35,6,132.61185627510343,150.66225999444066,35,,TS,1860-09-18 00:00:00,1860-09-21 18:00:00,22.2,-66.1,Null Model
1860336S08087,58.12276070458494,89.50103227682645,30,6,67.95246585180594,93.54044784152434,30,SI,NR,1860-12-01 06:00:00,1860-12-07 06:00:00,-8.3,86.8,Kalman Filter
1861021S13446,121.79517069096286,153.2688737065293,30,6,121.00354103488644,174.11278247710658,30,SI,NR,1861-01-21 06:00:00,1861-01-25 06:00:00,-13.2,85.8,Null Model
1861042S16062,62.07166867388578,70.1059472226189,30,6,49.044363766924654,57.40292988134445,30,SI,NR,1861-02-11 06:00:00,1861-02-21 06:00:00,-15.8,62.1,Null Model
1861052S08069,87.00832151866068,116.30248253710359,30,6,81.59566140401293,111.73780993722771,30,SI,NR,1861-02-21 06:00:00,1861-03-01 06:00:00,-8.3,69.0,Null Model
1861101S09084,44.54838208702691,51.22868101589893,30,6,44.14573674174816,51.4872548483139,30,SI,NR,1861-04-11 06:00:00,1861-04-19 06:00:00,-9.2,83.5,Null Model
1861202N37285,85.72802696736741,99.74262211013418,30,6,67.8302623412655,88.9738728271192,30,,SS,1861-07-20 12:00:00,1861-07-25 12:00:00,36.5,-75.0,Null Model
1861210N15276,27.270785848351867,22.941656416935672,30,6,36.71118268314327,37.86296896446556,30,,TS,1861-07-28 12:00:00,1861-08-01 12:00:00,15.2,-84.0,Kalman Filter
1861221N13316,72.41749705490041,99.34915764103997,30,6,91.51147291492116,132.80618528834586,30,,TS,1861-08-09 06:00:00,1861-08-18 12:00:00,12.5,-44.0,Kalman Filter
1861254N19314,201.53451205100455,369.2535058360812,30,6,175.46088570882173,256.0966648163912,30,,TS,1861-09-11 00:00:00,1861-09-18 12:00:00,19.0,-46.3,Null Model
1861305N26278,138.5390233018403,130.00177796510422,35,6,193.99700059553325,187.87993209043202,35,,TS,1861-11-01 06:00:00,1861-11-03 18:00:00,25.5,-82.1,Kalman Filter
1861315S10085,129.1860545378542,156.2201701335214,30,6,116.30096192592218,150.51870017115664,30,SI,NR,1861-11-11 06:00:00,1861-11-15 06:00:00,-9.7,85.0,Null Model
